time_s,sv_out,spice_out,diff
1.777980000e-09,0.000000000e+00,5.362880702e-05,-5.362880702e-05
5.335719760e-09,3.221897826e-04,4.599977309e-04,-1.378079483e-04
8.893459520e-09,1.018495336e-03,1.211768696e-03,-1.932733602e-04
1.245119928e-08,2.031172835e-03,2.259744039e-03,-2.285712044e-04
1.600893904e-08,3.311188188e-03,3.559600755e-03,-2.484125675e-04
1.956667880e-08,4.816904305e-03,5.073460504e-03,-2.565561991e-04
2.312441856e-08,6.512966210e-03,6.768953374e-03,-2.559871647e-04
2.668215832e-08,8.369354194e-03,8.618417770e-03,-2.490635756e-04
3.023989808e-08,1.036057966e-02,1.059821645e-02,-2.376367867e-04
3.379763784e-08,1.246500221e-02,1.268815204e-02,-2.231498372e-04
3.735537760e-08,1.466424954e-02,1.487096713e-02,-2.067175911e-04
4.091311736e-08,1.694272498e-02,1.713191739e-02,-1.891924127e-04
4.447085712e-08,1.928718900e-02,1.945840642e-02,-1.712174172e-04
4.802859688e-08,2.168640401e-02,2.183967362e-02,-1.532696071e-04
5.158633664e-08,2.413083254e-02,2.426652790e-02,-1.356953649e-04
5.514407640e-08,2.661238102e-02,2.673111915e-02,-1.187381308e-04
5.870181616e-08,2.912418209e-02,2.922674365e-02,-1.025615568e-04
6.225955592e-08,3.166040978e-02,3.174767770e-02,-8.726791795e-05
6.581729568e-08,3.421612253e-02,3.428903480e-02,-7.291227233e-05
6.937503544e-08,3.678712982e-02,3.684664462e-02,-5.951479941e-05
7.293277520e-08,3.936987900e-02,3.941694824e-02,-4.706924201e-05
7.649051495e-08,4.196135909e-02,4.199691001e-02,-3.555091775e-05
8.004825471e-08,4.455901912e-02,4.458394091e-02,-2.492179433e-05
8.360599447e-08,4.716069875e-02,4.717583402e-02,-1.513526932e-05
8.716373423e-08,4.976456939e-02,4.977070889e-02,-6.139495250e-06
9.072147399e-08,5.236908417e-02,5.236696399e-02,2.120179991e-06
9.427921375e-08,5.497293542e-02,5.496323640e-02,9.699021701e-06
9.783695351e-08,5.757501861e-02,5.755836670e-02,1.665191623e-05
1.013946933e-07,6.017440170e-02,6.015137001e-02,2.303169137e-05
1.049524330e-07,6.277029910e-02,6.274140961e-02,2.888949749e-05
1.085101728e-07,6.536204962e-02,6.532777766e-02,3.427196301e-05
1.120679126e-07,6.794909760e-02,6.790987212e-02,3.922548239e-05
1.156256523e-07,7.053097705e-02,7.048718700e-02,4.379004904e-05
1.191833921e-07,7.310729809e-02,7.305929286e-02,4.800522554e-05
1.227411318e-07,7.567773542e-02,7.562583054e-02,5.190487727e-05
1.262988716e-07,7.824201860e-02,7.818649624e-02,5.552235474e-05
1.298566114e-07,8.079992372e-02,8.074103838e-02,5.888533714e-05
1.334143511e-07,8.335126637e-02,8.328924493e-02,6.202143915e-05
1.369720909e-07,8.589589567e-02,8.583094262e-02,6.495304523e-05
1.405298306e-07,8.843368914e-02,8.836598627e-02,6.770286654e-05
1.440875704e-07,9.096454848e-02,9.089425977e-02,7.028870974e-05
1.476453102e-07,9.348839581e-02,9.341566682e-02,7.272898875e-05
1.512030499e-07,9.600517058e-02,9.593013296e-02,7.503762486e-05
1.547607897e-07,9.851482702e-02,9.843759727e-02,7.722975077e-05
